born_on_date,born_month,born_year,collection,species_site,species,site,parents,tank_id,brood_no,brood_ID,individual,sl_mm,hw_mm,hw/sl,notes,gen
20-IX-22,IX,22,IX-22,Xmal_xbir_F1,Xmal_xbir_F1,,LB-RT5,S000197,6,Xmal_xbir_F1_IX-22_6,3,11.578,2.294,0.198134393,,
20-IX-22,IX,22,IX-22,Xmal_xbir_F1,Xmal_xbir_F1,,LB-RT5,S000197,6,Xmal_xbir_F1_IX-22_6,4,11.012,1.953,0.17735198,,
20-IX-22,IX,22,IX-22,Xmal_xbir_F1,Xmal_xbir_F1,,LB-RT5,S000197,6,Xmal_xbir_F1_IX-22_6,5,11.067,2.183,0.197253095,,
20-IX-22,IX,22,IX-22,Xmal_xbir_F1,Xmal_xbir_F1,,LB-RT5,S000197,6,Xmal_xbir_F1_IX-22_6,6,11.537,2.012,0.174395423,,
20-IX-22,IX,22,IX-22,Xmal_xbir_F1,Xmal_xbir_F1,,LB-RT5,S000197,6,Xmal_xbir_F1_IX-22_6,7,11.766,2.009,0.170746218,,
20-IX-22,IX,22,IX-22,Xmal_xbir_F1,Xmal_xbir_F1,,LB-RT5,S000197,6,Xmal_xbir_F1_IX-22_6,8,10.209,2.295,0.224801646,,
20-IX-22,IX,22,IX-22,Xmal_xbir_F1,Xmal_xbir_F1,,LB-RT5,S000197,6,Xmal_xbir_F1_IX-22_6,9,10.297,2.14,0.207827523,,
30-IX-22,IX,22,IX-22,Xmal_xbir_F1,Xmal_xbir_F1,,S000197,LB-RT5,7,Xmal_xbir_F1_IX-22_7,1,12.47,2.224,0.178348035,,
30-IX-22,IX,22,IX-22,Xmal_xbir_F1,Xmal_xbir_F1,,S000197,LB-RT5,7,Xmal_xbir_F1_IX-22_7,2,11.058,2.21,0.199855308,,
30-IX-22,IX,22,IX-22,Xmal_xbir_F1,Xmal_xbir_F1,,S000197,LB-RT5,7,Xmal_xbir_F1_IX-22_7,3,11.02,2.065,0.18738657,,
30-IX-22,IX,22,IX-22,Xmal_xbir_F1,Xmal_xbir_F1,,S000197,LB-RT5,7,Xmal_xbir_F1_IX-22_7,4,13.781,2.784,0.20201727,,
30-IX-22,IX,22,IX-22,Xmal_xbir_F1,Xmal_xbir_F1,,S000197,LB-RT5,7,Xmal_xbir_F1_IX-22_7,5,11.538,2.336,0.202461432,,
30-IX-22,IX,22,IX-22,Xmal_xbir_F1,Xmal_xbir_F1,,S000197,LB-RT5,7,Xmal_xbir_F1_IX-22_7,6,12.093,2.421,0.200198462,,
30-IX-22,IX,22,IX-22,Xmal_xbir_F1,Xmal_xbir_F1,,S000197,LB-RT5,7,Xmal_xbir_F1_IX-22_7,7,12.767,2.542,0.199107073,,
30-IX-22,IX,22,IX-22,Xmal_xbir_F1,Xmal_xbir_F1,,S000197,LB-RT5,7,Xmal_xbir_F1_IX-22_7,8,11.303,1.8,0.159249757,,
30-IX-22,IX,22,IX-22,Xmal_xbir_F1,Xmal_xbir_F1,,S000197,LB-RT5,7,Xmal_xbir_F1_IX-22_7,9,11.622,2.219,0.190930993,,
5-X-22,X,22,X-22,Xmal_xbir_F1,Xmal_xbir_F1,,S000089/S000100,,8,Xmal_xbir_F1_X-22_8,1,12.853,2.642,0.205555123,,
14-X-21,X,21,X-21,Xmal_xbir_F2,Xmal_xbir_F2,,dam in OD2,,1,Xmal_xbir_F2_X-21_1,1,10.933,2.386,0.218238361,,
24-X-22,X,22,X-22,Xmal_xbir_F2,Xmal_xbir_F2,,S000209/10,roof 7+8,3,Xmal_xbir_F2_X-22_3,1,11.136,1.889,0.169630029,,
24-X-22,X,22,X-22,Xmal_xbir_F2,Xmal_xbir_F2,,S000209/10,roof 7+8,3,Xmal_xbir_F2_X-22_3,2,10.262,2.23,0.217306568,,
24-X-22,X,22,X-22,Xmal_xbir_F2,Xmal_xbir_F2,,S000209/10,roof 7+8,3,Xmal_xbir_F2_X-22_3,3,9.873,2.095,0.212194875,,
24-X-22,X,22,X-22,Xmal_xbir_F2,Xmal_xbir_F2,,S000209/10,roof 7+8,3,Xmal_xbir_F2_X-22_3,4,9.56,1.932,0.20209205,,
24-X-22,X,22,X-22,Xmal_xbir_F2,Xmal_xbir_F2,,S000209/10,roof 7+8,3,Xmal_xbir_F2_X-22_3,5,9.477,2.274,0.239949351,,
24-X-22,X,22,X-22,Xmal_xbir_F2,Xmal_xbir_F2,,S000209/10,roof 7+8,3,Xmal_xbir_F2_X-22_3,6,9.917,1.87,0.18856509,,
21-X-22,X,22,X-22,Xmal_xbir_F2,Xmal_xbir_F2,,S000185/S000139,Roof tank 8,4,Xmal_xbir_F2_X-22_4,1,11.747,2.446,0.208223376,,
21-X-22,X,22,X-22,Xmal_xbir_F2,Xmal_xbir_F2,,S000185/S000139,Roof tank 8,4,Xmal_xbir_F2_X-22_4,2,11.028,2.327,0.211008342,,
21-X-22,X,22,X-22,Xmal_xbir_F2,Xmal_xbir_F2,,S000209,roof tank 7,5,Xmal_xbir_F2_X-22_5,1,11.083,2.149,0.193900568,,
21-X-22,X,22,X-22,Xmal_xbir_F2,Xmal_xbir_F2,,S000209,roof tank 7,5,Xmal_xbir_F2_X-22_5,2,10.407,2.048,0.196790622,,
21-X-22,X,22,X-22,Xmal_xbir_F2,Xmal_xbir_F2,,S000209,roof tank 7,5,Xmal_xbir_F2_X-22_5,3,10.396,1.786,0.171796845,,
17-X-22,X,22,X-22,Xmal_xbir_F2,Xmal_xbir_F2,,,roof tank 7,3,Xmal_xbir_F2_X-22_3,2,8.94,2.27,0.253914989,,
17-X-22,X,22,X-22,Xmal_xbir_F2,Xmal_xbir_F2,,,roof tank 7,3,Xmal_xbir_F2_X-22_3,3,10.437,2.26,0.216537319,,
7-VI-22,VI,22,VI-22,Xmal_xbirCALL,Xmal_xbir,CALL,,OC2-1,1,Xmal_xbirCALL_VI-22_1,1,9.361,1.911,0.204144856,,
7-VI-22,VI,22,VI-22,Xmal_xbirCALL,Xmal_xbir,CALL,,OC2-1,1,Xmal_xbirCALL_VI-22_1,2,10.579,1.964,0.185650818,,
5-V-22,V,22,V-22,Xmal_xbirCALL,Xmal_xbir,CALL,S000158,,2,Xmal_xbirCALL_V-22_2,1,11.957,1.962,0.164087982,,
31-III-21,III,21,III-21,Xmal_xbirCALL,Xmal_xbir,CALL,S000158,,3,Xmal_xbirCALL_III-21_3,1,14.113,2.998,0.212428258,,
31-III-21,III,21,III-21,Xmal_xbirCALL,Xmal_xbir,CALL,S000158,,3,Xmal_xbirCALL_III-21_3,2,13.293,2.579,0.194011886,,
31-III-21,III,21,III-21,Xmal_xbirCALL,Xmal_xbir,CALL,S000158,,3,Xmal_xbirCALL_III-21_3,3,11.459,2.653,0.231521075,,
31-III-21,III,21,III-21,Xmal_xbirCALL,Xmal_xbir,CALL,S000158,,3,Xmal_xbirCALL_III-21_3,4,12.945,2.221,0.171572036,,
6-IV-21,IV,21,IV-21,Xmal_xbirCALL,Xmal_xbir,CALL,,OD3-1,4,Xmal_xbirCALL_IV-21_4,1,10.925,2.403,0.219954233,,
6-IV-21,IV,21,IV-21,Xmal_xbirCALL,Xmal_xbir,CALL,,OD3-1,4,Xmal_xbirCALL_IV-21_4,2,10.65,2.292,0.215211268,,
